Date_InitialTag,Transect,TransectNum,TagNum,species,antibiotic_treatment,treatment_2,treatment_3,treatment_4,treatment_5
3/6/24,PLAZADETOROS,4,49,DLAB,,,,,
3/6/24,PLAZADETOROS,4,68,DLAB,,,,,
3/6/24,PLAZADETOROS,4,51,DLAB,,,,,
3/6/24,PLAZADETOROS,4,67,PSTR,Y,62024,,,
3/6/24,PLAZADETOROS,4,91,OFRA,,,,,
3/6/24,PLAZADETOROS,4,24,MCAV,,,,,
3/6/24,PLAZADETOROS,4,55,PSTR,,,,,
3/6/24,PLAZADETOROS,4,64,DLAB,,,,,
3/6/24,PLAZADETOROS,4,65,DLAB,,,,,
3/6/24,PLAZADETOROS,4,63,CNAT,Y,62024,,,
3/6/24,PLAZADETOROS,4,71,CNAT,,,,,
3/6/24,PLAZADETOROS,4,72,CNAT,,,,,
3/6/24,PLAZADETOROS,4,66,DLAB,,,,,
3/6/24,PLAZADETOROS,4,70,DLAB,,,,,
3/6/24,PLAZADETOROS,4,17,MCAV,,,,,
3/6/24,PLAZADETOROS,4,18,MCAV,,,,,
3/6/24,PLAZADETOROS,4,19,MCAV,,,,,
3/6/24,PLAZADETOROS,4,20,MCAV,,,,,
3/6/24,PLAZADETOROS,4,21,MCAV,Y,82024,,,
3/6/24,PLAZADETOROS,4,25,MCAV,,,,,
3/6/24,PLAZADETOROS,4,69,MCAV,,,,,
3/6/24,PLAZADETOROS,4,88,OFAV,,,,,
3/6/24,PLAZADETOROS,4,92,OFAV,Y,62024,,,
3/6/24,PLAZADETOROS,4,93,OFAV,,,,,
3/6/24,PLAZADETOROS,4,94,OFAV,,,,,
3/6/24,PLAZADETOROS,4,96,OFAV,Y,62024,,,
3/6/24,PLAZADETOROS,4,97,OFAV,,,,,
3/6/24,PLAZADETOROS,4,98,OFAV,,,,,
3/6/24,PLAZADETOROS,4,22,MCAV,Y,82024,,,
3/6/24,PLAZADETOROS,4,23,MCAV,,,,,
3/6/24,PLAZADETOROS,4,95,OFAV,,,,,
3/6/24,PLAZADETOROS,4,56,PSTR,,,,,
3/6/24,PLAZADETOROS,4,57,PSTR,,,,,
3/6/24,PLAZADETOROS,4,89,OFAV,,,,,
3/6/24,PLAZADETOROS,4,90,OFAV,,,,,
3/2/24,NIRVANA,1,26,DLAB,Y,62024,,,
3/2/24,NIRVANA,1,30,DLAB,Y,82024,,,
3/2/24,NIRVANA,1,31,DLAB,,,,,
3/2/24,NIRVANA,1,49,DLAB,,,,,
3/2/24,NIRVANA,1,50,DLAB,,,,,
3/2/24,NIRVANA,1,52,DLAB,,,,,
3/2/24,NIRVANA,1,53,DLAB,,,,,
3/2/24,NIRVANA,1,54,DLAB,,,,,
3/2/24,NIRVANA,1,56,DLAB,,,,,
3/2/24,NIRVANA,1,57,DLAB,Y,82024,,,
3/2/24,NIRVANA,1,61,MCAV,,,,,
3/2/24,NIRVANA,1,62,MCAV,,,,,
3/2/24,NIRVANA,1,63,MCAV,,,,,
3/2/24,NIRVANA,1,64,MCAV,Y,72124,,,
3/2/24,NIRVANA,1,65,MCAV,,,,,
3/2/24,NIRVANA,1,66,MCAV,Y,32024,52024,82025,12025
3/2/24,NIRVANA,1,67,MCAV,,,,,
3/2/24,NIRVANA,1,68,MCAV,,,,,
3/2/24,NIRVANA,1,69,MCAV,,,,,
3/2/24,NIRVANA,1,70,MCAV,,,,,
3/2/24,NIRVANA,1,16,OFAV,Y,52024,,,
3/2/24,NIRVANA,1,17,OFAV,,,,,
3/2/24,NIRVANA,1,18,OFAV,Y,62024,12025,,
3/2/24,NIRVANA,1,19,OFAV,Y,12025,,,
3/2/24,NIRVANA,1,20,OFAV,,,,,
3/2/24,NIRVANA,1,21,OFAV,,,,,
3/2/24,NIRVANA,1,22,OFAV,Y,12025,,,
3/2/24,NIRVANA,1,23,OFAV,Y,12025,,,
3/2/24,NIRVANA,1,24,OFAV,Y,62024,12025,,
3/2/24,NIRVANA,1,25,OFAV,,,,,
3/2/24,NIRVANA,1,51,PSTR,,,,,
3/2/24,NIRVANA,1,55,PSTR,,,,,
3/4/24,PUNTAPADI,2,26,DLAB,,,,,
3/4/24,PUNTAPADI,2,27,DLAB,,,,,
3/4/24,PUNTAPADI,2,89,DLAB,,,,,
3/4/24,PUNTAPADI,2,90,DLAB,,,,,
3/4/24,PUNTAPADI,2,91,DLAB,,,,,
3/4/24,PUNTAPADI,2,92,DLAB,,,,,
3/4/24,PUNTAPADI,2,93,DLAB,Y,62024,82024,,
3/4/24,PUNTAPADI,2,38,MCAV,,,,,
3/4/24,PUNTAPADI,2,39,MCAV,,,,,
3/4/24,PUNTAPADI,2,40,MCAV,,,,,
3/4/24,PUNTAPADI,2,41,MCAV,,,,,
3/4/24,PUNTAPADI,2,42,MCAV,,,,,
3/4/24,PUNTAPADI,2,43,MCAV,,,,,
3/4/24,PUNTAPADI,2,44,MCAV,,,,,
3/4/24,PUNTAPADI,2,45,MCAV,,,,,
3/4/24,PUNTAPADI,2,46,MCAV,,,,,
3/4/24,PUNTAPADI,2,47,MCAV,,,,,
3/4/24,PUNTAPADI,2,48,MCAV,,,,,
3/4/24,PUNTAPADI,2,50,OFAV,,,,,
3/4/24,PUNTAPADI,2,51,OFAV,Y,62024,,,
3/4/24,PUNTAPADI,2,52,OFAV,,,,,
3/4/24,PUNTAPADI,2,53,OFAV,,,,,
3/4/24,PUNTAPADI,2,54,OFAV,Y,12025,,,
3/4/24,PUNTAPADI,2,55,OFAV,,,,,
3/4/24,PUNTAPADI,2,56,OFAV,,,,,
3/4/24,PUNTAPADI,2,57,OFAV,,,,,
3/4/24,PUNTAPADI,2,58,OFAV,,,,,
3/5/24,ROCOSA,3,33,CNAT,,,,,
3/5/24,ROCOSA,3,35,CNAT,,,,,
3/5/24,ROCOSA,3,36,CNAT,,,,,
3/5/24,ROCOSA,3,27,DLAB,,,,,
3/5/24,ROCOSA,3,28,DLAB,,,,,
3/5/24,ROCOSA,3,29,DLAB,Y,62024,,,
3/5/24,ROCOSA,3,30,DLAB,,,,,
3/5/24,ROCOSA,3,32,DLAB,,,,,
3/5/24,ROCOSA,3,34,DLAB,,,,,
3/5/24,ROCOSA,3,15,MCAV,,,,,
3/5/24,ROCOSA,3,16,MCAV,,,,,
3/5/24,ROCOSA,3,91,MCAV,,,,,
3/5/24,ROCOSA,3,92,MCAV,,,,,
3/5/24,ROCOSA,3,93,MCAV,,,,,
3/5/24,ROCOSA,3,94,MCAV,,,,,
3/5/24,ROCOSA,3,95,MCAV,,,,,
3/5/24,ROCOSA,3,98,MCAV,,,,,
3/5/24,ROCOSA,3,99,MCAV,,,,,
3/5/24,ROCOSA,3,100,MCAV,,,,,
3/5/24,ROCOSA,3,58,OFAV,,,,,
3/5/24,ROCOSA,3,59,OFAV,,,,,
3/5/24,ROCOSA,3,60,OFAV,,12025,,,
3/5/24,ROCOSA,3,61,OFAV,,,,,
3/5/24,ROCOSA,3,63,OFAV,,,,,
3/5/24,ROCOSA,3,64,OFAV,,,,,
3/5/24,ROCOSA,3,65,OFAV,,,,,
3/5/24,ROCOSA,3,66,OFAV,,,,,
3/5/24,ROCOSA,3,67,OFAV,Y,32024,12025,,
3/5/24,ROCOSA,3,68,OFAV,Y,82024,12025,,
3/5/24,ROCOSA,3,31,PSTR,,,,,
3/7/24,ELARBOL,5,81,DLAB,,,,,
3/7/24,ELARBOL,5,83,DLAB,,,,,
3/7/24,ELARBOL,5,86,DLAB,Y,62024,82024,,
3/7/24,ELARBOL,5,87,DLAB,,,,,
3/7/24,ELARBOL,5,88,DLAB,,,,,
3/7/24,ELARBOL,5,94,DLAB,,,,,
3/7/24,ELARBOL,5,99,DLAB,,,,,
3/7/24,ELARBOL,5,100,DLAB,,,,,
3/7/24,ELARBOL,5,2,MCAV,,,,,
3/7/24,ELARBOL,5,3,MCAV,,,,,
3/7/24,ELARBOL,5,5,MCAV,,,,,
3/7/24,ELARBOL,5,6,MCAV,,,,,
3/7/24,ELARBOL,5,7,MCAV,,,,,
3/7/24,ELARBOL,5,8,MCAV,,,,,
3/7/24,ELARBOL,5,9,MCAV,,,,,
3/7/24,ELARBOL,5,10,MCAV,,,,,
3/7/24,ELARBOL,5,13,MCAV,,,,,
3/7/24,ELARBOL,5,14,MCAV,,,,,
3/7/24,ELARBOL,5,19,OFAV,,,,,
3/7/24,ELARBOL,5,20,OFAV,,,,,
3/7/24,ELARBOL,5,21,OFAV,,,,,
3/7/24,ELARBOL,5,22,OFAV,,,,,
3/7/24,ELARBOL,5,23,OFAV,,,,,
3/7/24,ELARBOL,5,24,OFAV,,,,,
3/7/24,ELARBOL,5,25,OFAV,,,,,
3/7/24,ELARBOL,5,28,OFAV,Y,32024,,82025,
3/7/24,ELARBOL,5,29,OFAV,,,,,
3/7/24,ELARBOL,5,37,OFAV,Y,52024,,,
3/7/24,ELARBOL,5,4,PSTR,,,,,
3/7/24,ELARBOL,5,7,PSTR,,,,,
3/7/24,ELARBOL,5,11,PSTR,,,,,
3/7/24,ELARBOL,5,12,PSTR,,,,,
3/7/24,ELARBOL,5,58,PSTR,,,,,
3/7/24,ELARBOL,5,59,PSTR,Y,62024,,,
3/7/24,ELARBOL,5,62,PSTR,,,,,
3/7/24,ELARBOL,5,82,PSTR,,,,,
3/7/24,ELARBOL,5,84,PSTR,,,,,
3/7/24,ELARBOL,5,85,PSTR,,,,,
3/7/24,ELARBOL,5,96,PSTR,,,,,
3/7/24,ELARBOL,5,97,PSTR,,,,,